,data,length_used,feature_extraction,feature_selection,model,accuracy,f1_score,recall,precision,roc_auc,note
0,fake_reviews_dataset,StandardScaler,"TF_IDF{0.01,(1, 1)}",none,AdaBoost,0.7561585620585873,0.7592669491292671,0.7691438713559677,0.7497091621722787,0.8411443813323537,
1,fake_reviews_dataset,StandardScaler,"TF_IDF{0.01,(1, 2)}",none,AdaBoost,0.7596211537154028,0.7576103408575587,0.7514463603917314,0.7639825030026369,0.8457833952723416,
2,fake_reviews_dataset,StandardScaler,"TF_IDF{0.01,(1, 3)}",none,AdaBoost,0.7601157930630781,0.7570080673780616,0.7474097546850068,0.7670303643734651,0.846473531476796,
3,fake_reviews_dataset,StandardScaler,"TF_IDF{0.01,(2, 2)}",none,AdaBoost,0.7248713066328731,0.7031387085729806,0.6517452532139631,0.7634429467060955,0.7877715528289563,
4,fake_reviews_dataset,StandardScaler,"TF_IDF{0.01,(2, 3)}",none,AdaBoost,0.725069176441054,0.7021541093909549,0.6482284987184552,0.7659455387743144,0.7881626939929509,
5,fake_reviews_dataset,StandardScaler,"TF_IDF{0.01,(3, 3)}",none,AdaBoost,0.6334834956026842,0.5059840234640551,0.375408380303431,0.775898198047866,0.6811214097787699,
6,fake_reviews_dataset,StandardScaler,"TF_IDF{0.001,(1, 1)}",pca,AdaBoost,0.7760683172771645,0.7696190408277123,0.748150807148755,0.7924093531836858,0.8548194314382517,
7,fake_reviews_dataset,StandardScaler,"TF_IDF{0.001,(1, 2)}",pca,AdaBoost,0.7723833541500099,0.7662255937316094,0.7459771423394003,0.7876428655882455,0.8542443334849018,
8,fake_reviews_dataset,StandardScaler,"TF_IDF{0.001,(1, 3)}",pca,AdaBoost,0.7728286445626052,0.7668980676329337,0.7474186399719225,0.7874879277197738,0.8546286562663074,
9,fake_reviews_dataset,StandardScaler,"TF_IDF{0.001,(2, 2)}",pca,AdaBoost,0.7454491641587204,0.7420047596609398,0.73222836275195,0.7521283412901261,0.8232366184991553,
10,fake_reviews_dataset,StandardScaler,"TF_IDF{0.001,(2, 3)}",pca,AdaBoost,0.7502474802452099,0.7466928380826291,0.7362679316731664,0.7575090387555665,0.8276009449599601,
11,fake_reviews_dataset,StandardScaler,"TF_IDF{0.001,(3, 3)}",none,AdaBoost,0.7006084278683269,0.6319275384516132,0.5140169340101879,0.8201127456482595,0.7471555333840328,
12,fake_reviews_dataset,StandardScaler,"TF_IDF{0.01,(1, 1)}",none,CatBoost,0.8495003951737934,0.8494139114681616,0.8490828378519799,0.8497652811102661,0.9325932144731,
13,fake_reviews_dataset,StandardScaler,"TF_IDF{0.01,(1, 2)}",none,CatBoost,0.8569202208936021,0.856068620393253,0.8511008133311373,0.8610980570702074,0.9375172197557242,
14,fake_reviews_dataset,StandardScaler,"TF_IDF{0.01,(1, 3)}",none,CatBoost,0.8560298419295652,0.8551921591839126,0.8504403629564985,0.8599994894740682,0.9375445069033346,
15,fake_reviews_dataset,StandardScaler,"TF_IDF{0.01,(2, 2)}",none,CatBoost,0.7387217803077165,0.7103763662389534,0.6410320719056164,0.7967156177305065,0.8105738902433991,
16,fake_reviews_dataset,StandardScaler,"TF_IDF{0.01,(2, 3)}",none,CatBoost,0.7386970584333904,0.710305373186948,0.640848648815552,0.7968161178277678,0.8107615650528583,
17,fake_reviews_dataset,StandardScaler,"TF_IDF{0.01,(3, 3)}",none,CatBoost,0.6317769675261374,0.5153938000335654,0.3917975945956115,0.753945068101674,0.6790145908448266,
18,fake_reviews_dataset,StandardScaler,"TF_IDF{0.001,(1, 1)}",pca,CatBoost,0.8573158901644101,0.8550750592443899,0.8420985223231234,0.8685132351005068,0.9346297142240954,
